rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
1,1,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
2,3,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
3,5,All India,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
4,6,All India,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
5,7,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
6,8,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
7,9,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
8,10,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
9,13,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
10,14,All India,"PGIMER, DR. RML Hospital","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOG Y)/(SKIN and VENEREAL DISEASES)/(VE NEREOLOGY)",Reported,-,-,-,-,-,-,-,-,-,-
11,15,All India,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
12,16,All India,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,-,-,-,-,-,-,-,-,-,-
13,19,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
14,20,All India,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOG Y)/(SKIN and VENEREAL DISEASES)/(VE NEREOLOGY)",Not Reported,-,-,-,-,-,-,-,-,-,-
15,22,All India,NIZAMS INSTITUTE OF MEDICAL SCIENCES,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
16,23,All India,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-
17,24,All India,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
18,25,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
19,26,All India,Government Medical College Kozhikode,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
20,27,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Not Reported,-,-,-,-,-,-,-,-,-,-
21,28,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
22,29,All India,Maulana Azad Medical College,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOG Y)/(SKIN and VENEREAL DISEASES)/(VE NEREOLOGY)",Seat Surrende red,-,-,-,-,All India,"MEDICA L COLLEG E, KOLKAT A,MEDIC AL COLLEG E, KOLKAT A, West Bengal, 700073","M.D. (DERM.,V ENE. and LEPROSY )/ (DERMAT OLOGY)/( SKIN and VENEREA L DISEASE S)/(VENE REOLOG Y)",Open,General,1
23,30,All India,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
24,32,All India,LOKMANYA TILAK MEDICAL COLLEGE MUMBAI,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
25,33,All India,"B.J.Government Medical College, Pune","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOG Y)/(SKIN and VENEREAL DISEASES)/(VE NEREOLOGY)",Reported,-,-,-,-,-,-,-,-,-,-
26,34,All India,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
27,35,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
28,36,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
29,38,All India,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
30,41,All India,Maulana Azad Medical College,M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
31,42,All India,"PGIMER, DR. RML Hospital",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
32,43,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
33,44,All India,Maulana Azad Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
34,46,All India,"Seth Gordhandas Sunderdas Medical College, MUMBAI",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
35,49,All India,"Gauhati Medical College, Guwahati",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
36,50,All India,"PGIMER, DR. RML Hospital",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
37,52,All India,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
38,53,All India,"Srirama Chandra Bhanja Medical College, CUTTACK",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
39,54,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
40,55,All India,"PGIMER, DR. RML Hospital",M.D. (RADIO- DIAGNOSIS),Seat Surrende red,-,-,-,-,-,-,-,-,-,-
41,56,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
42,57,IP Universit y Quota,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
43,58,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
44,60,All India,"B. J. MEDICAL COLLEGE, Ahmedabad",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
45,61,IP Universit y Quota,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
46,62,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
47,64,All India,"Government Medical College, Nagpur",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
48,65,All India,"Grant Medical College, Maharashtra",M.S. (GENERAL SURGERY),Reported,-,-,-,-,-,-,-,-,-,-
49,66,All India,"PGIMER, DR. RML Hospital",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
50,67,All India,"PGIMER, DR. RML Hospital",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
51,68,All India,"Vardhman Mahavir Medical College, , New Delhi",M.D. (RADIO- DIAGNOSIS),Reported,-,-,-,-,-,-,-,-,-,-
