rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
1,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
2,AI,Government Medical College Kozhikode,GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
3,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
4,AI,"Vardhman Mahavir Medical College, , New Delhi",RADD,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
5,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
6,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Seat Surrendered,-,-,-,-,All India,"Maulana Azad Medical College,Maulana Azad Medical College, Delhi (NCT), 110002",M.D. (RADIO-DIAGNOSIS),Open,General,2,Fresh Allotted in 3nd Round
7,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
8,AI,Bangalore Medical College and Research Institute,GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
9,AI,MADRAS MEDICAL COLLEGE,GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
10,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Seat Surrendered,-,-,-,-,DNB Quota,"Metro Heart Institute with Multispecialty, ,SECTOR 16A, Faridabad, Haryana, Haryana, 121002",(NBEMS) GENERAL MEDICINE,Open,OBC,2,Fresh Allotted in 3nd Round
11,AI,"Vardhman Mahavir Medical College, , New Delhi",RADD,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
12,AI,MADRAS MEDICAL COLLEGE,OBGY,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
13,AI,Government medical college patiala.,GMED,Not Reported,All India,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Reported,-,-,-,-,-,-,Did not fill up fresh choices.
14,AI,"Vardhman Mahavir Medical College, , New Delhi",OBGY,Not Reported,All India,"Vardhman Mahavir Medical College, , New Delhi",OBGY,Not Reported,-,-,-,-,-,-,Did not fill up fresh choices.
15,AI,"PGIMER, DR. RML Hospital, Cannaught Place, New Delhi",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
16,AI,NIZAMS INSTITUTE OF MEDICAL SCIENCES,GMED,Not Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
17,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",RADD,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
18,AI,"Sawai Man Singh Medical College, JAIPUR",RADD,Reported,-,-,-,-,-,-,-,-,-,-,Did not fill up fresh choices.
19,AI,"B. J. MEDICAL COLLEGE, Ahmedabad",GMED,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
20,AI,Government Medical College Kozhikode,DV-L,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
21,AI,"Vardhman Mahavir Medical College, , New Delhi",RADD,Reported,-,-,-,-,-,-,-,-,-,-,Did not opt for Upgradation.
