sno,rank,quota,institute,course,alloted_category,candidate_category,remarks
1,2952,All India,"MADRAS MEDICAL COLLEGE,EVR PERIYAR SALAI, CHENNAI-03, Tamil Nadu, 600003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",Open,General,Allotted
2,3246,All India,"Kidwai Memorial Institute of Oncolgy,Kidwai Memorial Institute of Oncolgy, Karnataka, 560029",M.D. (RADIO- DIAGNOSIS),Open,EWS,Allotted
3,3478,All India,"Sri Venkateswara Institute of Medical Sciences (SVIMS), A State University estd. by Govt. of A.P.,Sri Venkateswara Institute of Medical Sciences, SVIMS, Alipiri Road, Tirupati, Andhra Pradesh, 517507",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
4,4048,All India,"S.V. Medical College, Tirupathi ,S.V. Medical College, Tirupathi, Andhra Pradesh, 517501",M.D. (GENERAL MEDICINE),Open,General,Allotted
5,4867,All India,"Govt. Medical College, Baroda,Govt. Medical College, Baroda, Gujarat, 390001",M.D. (RADIO- DIAGNOSIS),Open,OBC,Allotted
6,4870,All India,"Government Medical College, Surat,Government Medical College, Majuragate, Surat., Gujarat, 395001",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
7,4882,All India,"Pandit Dindayal Upadhyay Medical College, RAJKOT,Pandit Dindayal Upadhyay Medical College, RAJKOT, Gujarat, 360001",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
8,5176,All India,"Karnataka Medical College and Research Institute, Hubballi,Karnataka Medical College and Research Institute, Hubballi Karnataka, 580021","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",Open,OBC,Allotted
9,5220,All India,"GANDHI MEDICAL COLLEGE,GANDHI MEDICAL COLLEGE, Telangana, 500003","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",OBC,OBC,Allotted
10,5398,All India,"Government Medical College, Surat,Government Medical College, Majuragate, Surat., Gujarat, 395001",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
11,5527,All India,"ESIC Medical College and PGIMSR,ESIC Medical College and Hospital, KK Nagar, Chennai - 600 078, Tamil Nadu, 600078",M.S. (GENERAL SURGERY),Open,General,Allotted
12,5669,All India,"Kakatiya Medical College,Kakatiya Medical College, Telangana, 506007",M.D. (RADIO- DIAGNOSIS),OBC,OBC,Allotted
13,5681,DNB Quota,"Bangalore Baptist Hospital, ,Bangalore Baptist Hospital, Bellary Road, Hebbal, Bangalore - 560024, Karnataka, 560024",(NBEMS) GENERAL MEDICINE,Open,General,Allotted
14,5718,All India,"S.V. Medical College, Tirupathi ,S.V. Medical College, Tirupathi, Andhra Pradesh, 517501",M.D. (GENERAL MEDICINE),Open,General,Allotted
15,5928,All India,"Siddhartha Medical College, Vijayawada,Siddhartha Medical College, Vijayawada, Andhra Pradesh, 520008","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",Open,OBC,Allotted
16,5965,DNB Quota,"Apollo Hospital,,DNB office, 3rd Floor Opp Library Apollo Hospitals, Jubilee Hills, Hyderabad, Telangana, 500033",(NBEMS) RADIO- DIAGNOSIS,Open,EWS,Allotted
17,6225,All India,"Government Medical College, Nizamabad, Telangana State,Government Medical College, Nizamabad, Telangana State, Telangana, 503001",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
18,6259,All India,"GOVT. MEDICAL COLLEGE, AMRITSAR,GOVT. MEDICAL COLLEGE,CIRCULAR ROAD, AMRITSAR, Punjab, 143001","M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SKIN and VENEREAL DISEASES)/(VENEREOL OGY)",OBC,OBC,Allotted
19,6397,All India,"VSS INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,BURLA,VSS INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,BURLA, Odisha, 768017",M.D. (GENERAL MEDICINE),Open,General,Allotted
20,6504,All India,"Government Medical College, Surat,Government Medical College, Majuragate, Surat., Gujarat, 395001",M.D. (RADIO- DIAGNOSIS),OBC,OBC,Allotted
21,6517,All India,"Pt. Raghunath Murmu Medical College & Hospital, Baripada Government,At- Rangamatia, Po- Laxmiposi, PS- Baripada Sadar, Via- Shankhabhanga, Dist- Mayurbhanj, Odisha",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
22,6617,All India,"Government Medical College, Nagpur,Government Medical College, Nagpur, Maharashtra, 440003",M.D. (GENERAL MEDICINE),EWS,EWS,Allotted
23,6656,All India,"North Bengal Medical College,North Bengal Medical College, West Bengal, 734012",M.D. (RADIO- DIAGNOSIS),Open,General,Allotted
24,7354,All India,"ESIC MEDICAL COLLEGE, JOKA,ESI-PGIMSR & ESIC MEDICAL COLLEGE, JOKA, KOLKATA, WEST BENGAL, West Bengal, 700104",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
25,7474,All India,"Gauhati Medical College, Guwahati,Gauhati Medical College, Guwahati, Assam, 781032",M.D. (GENERAL MEDICINE),Open,OBC,Allotted
26,7606,All India,"Tirunelveli Medical College,THE DEAN, TIRUNELVELI MEDICAL COLLEGE, HIGHGROUND,TIRUNELVELI-11, Tamil Nadu, 627011",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
27,7716,All India,"Osmania Medical Collge,5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana, Telangana, 500095",M.D. (PAEDIATRICS),Open,General,Allotted
28,7752,All India,"Tirunelveli Medical College,THE DEAN, TIRUNELVELI MEDICAL COLLEGE, HIGHGROUND,TIRUNELVELI-11, Tamil Nadu, 627011",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
29,7833,All India,"ESIC Medical College and PGIMSR,ESIC Medical College and Hospital, KK Nagar, Chennai - 600 078, Tamil Nadu, 600078",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
30,7881,DNB Quota,"GMERS Medical College and Hospital, ,paddoc road, near majewadi gate, junagadh, Gujarat, 362001",(NBEMS) DERMATOLOGY and VENEREOLOGY and LEPROSY,Open,General,Allotted
31,7911,All India,"Siddhartha Medical College, Vijayawada,Siddhartha Medical College, Vijayawada, Andhra Pradesh, 520008",M.D. (GENERAL MEDICINE),OBC,OBC,Allotted
